"RefMetadataComponentId","RefMetadataComponentType","RefMetadataComponentName","MetadataComponentId","MetadataComponentType","MetadataComponentName"
"01p04000000DuboAAC","ApexClass","TriggerControl","01p04000000DzHtAAK","ApexClass","CreditNoteTriggerHandlerTest"
"01p04000000DuboAAC","ApexClass","TriggerControl","01p04000000E2D5AAK","ApexClass","CPQ_OrderProductTriggerHandlerTest"
"01p04000000DuboAAC","ApexClass","TriggerControl","01p04000000EsFRAA0","ApexClass","CPQ_ActivateOrderBatchTest"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzHTAA0","ApexClass","CPQRecallOpportunityApproval"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzHXAA0","ApexClass","CPQSubmitManagedClauseApproval"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzHZAA0","ApexClass","CPQSubmitOpportunityApproval"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzHaAAK","ApexClass","CPQSubmitQuoteApproval"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzHgAAK","ApexClass","CaseAAExtController"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzHnAAK","ApexClass","ContractExtController"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzHqAAK","ApexClass","CreditNoteExtController"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzHyAAK","ApexClass","DebitNoteExtController"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzIMAA0","ApexClass","ManagedClauseExtController"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzIWAA0","ApexClass","QuoteExtController"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzIXAA0","ApexClass","QuoteLineExtController"
"01p04000000DucDAAS","ApexClass","ApprovalAPI","01p04000000DzIcAAK","ApexClass","SubmitCaseAdvancedApproval"
"01p04000000Dud5AAC","ApexClass","RelatedListController","00X04000000M8tTEAS","EmailTemplate","Request_Template"
"01p04000000Dud5AAC","ApexClass","RelatedListController","00X04000000MAbCEAW","EmailTemplate","AA_Case_Requested"
"01p04000000DwfzAAC","ApexClass","UsageDataJobScheduler","08e04000007SkiiAAC","CronTrigger","08e04000007SkiiAAC"
"01p04000000DxN7AAK","ApexClass","FeatureManagement_SchedulableBatch","08e04000009Zne6AAC","CronTrigger","08e04000009Zne6AAC"
"01p04000000DxRRAA0","ApexClass","COTestFactory","01p04000000DzIfAAK","ApexClass","TestAgreementBothTrigger"
"01p04000000DxRRAA0","ApexClass","COTestFactory","01p04000000DzIiAAK","ApexClass","TestManaged_ClauseBothTrigger"
"01p04000000DxRRAA0","ApexClass","COTestFactory","01p04000000ECnwAAG","ApexClass","TestAgreementProcessTrigger"
"01p04000000DxRRAA0","ApexClass","COTestFactory","01p04000000EDGFAA4","ApexClass","TestAgreementStepTrigger"
"01p04000000DxRRAA0","ApexClass","COTestFactory","01p04000000EDsTAAW","ApexClass","TestManaged_ClauseStepTrigger"
"01p04000000DxRSAA0","ApexClass","COTriggerHandler","01q040000008W6MAAU","ApexTrigger","AgreementProcessTrigger"
"01p04000000DxRSAA0","ApexClass","COTriggerHandler","01q040000008WA4AAM","ApexTrigger","AgreementStepTrigger"
"01p04000000DxRSAA0","ApexClass","COTriggerHandler","01q040000008WFYAA2","ApexTrigger","Managed_ClauseStepTrigger"
"01p04000000DxUSAA0","ApexClass","OrchestrateObjectBatch","08e04000008J2MTAA0","CronTrigger","08e04000008J2MTAA0"
"01p04000000DxWKAA0","ApexClass","ScheduleProcessWSCalloutErrors","08e04000007TQWfAAO","CronTrigger","08e04000007TQWfAAO"
"01p04000000DxX8AAK","ApexClass","SynchronizeLicenseJob","08e04000007TQWeAAO","CronTrigger","08e04000007TQWeAAO"
"01p04000000DzHJAA0","ApexClass","AccountTriggerHandler","01p04000000DzHKAA0","ApexClass","AccountTriggerHandlerTest"
"01p04000000DzHJAA0","ApexClass","AccountTriggerHandler","01q040000008UxdAAE","ApexTrigger","AccountTrigger"
"01p04000000DzHLAA0","ApexClass","AdvApprovalTriggerHandler","01q040000008UxeAAE","ApexTrigger","AdvApprovalTrigger"
"01p04000000DzHMAA0","ApexClass","AdvApprovalTriggerUtils","01q040000008UxeAAE","ApexTrigger","AdvApprovalTrigger"
"01p04000000DzHOAA0","ApexClass","AssignmentTriggerHandler","01q040000008UxfAAE","ApexTrigger","AssignmentTrigger"
"01p04000000DzHPAA0","ApexClass","BillingCPQFormulaTriggerHandler","01q040000008UxgAAE","ApexTrigger","BillingCPQFormulaTrigger"
"01p04000000DzHQAA0","ApexClass","BillingEventTriggerHandler","01q040000008UxhAAE","ApexTrigger","BillingEventTrigger"
"01p04000000DzHTAA0","ApexClass","CPQRecallOpportunityApproval","01p04000000DzHUAA0","ApexClass","CPQRecallOpportunityApprovalTEst"
"01p04000000DzHVAA0","ApexClass","CPQSubmitLegalAgreementApproval","01p04000000DzHWAA0","ApexClass","CPQSubmitLegalAgreementApprovalTest"
"01p04000000DzHXAA0","ApexClass","CPQSubmitManagedClauseApproval","01p04000000DzHYAA0","ApexClass","CPQSubmitManagedClauseApprovalTest"
"01p04000000DzHbAAK","ApexClass","CPQ_InvoiceLineTriggerHandler","01q040000008VGBAA2","ApexTrigger","CPQ_InvoiceLineTrigger"
"01p04000000DzHdAAK","ApexClass","CPQ_OrderProductTriggerHandler","01p04000000E2NNAA0","ApexClass","OrderTriggerHandlerTest"
"01p04000000DzHdAAK","ApexClass","CPQ_OrderProductTriggerHandler","01q040000008UxpAAE","ApexTrigger","OrderProductTrigger"
"01p04000000DzHeAAK","ApexClass","CPQ_TestDataFactory","01p04000000DzHfAAK","ApexClass","CPQ_TestDataFactory_Test"
"01p04000000DzHeAAK","ApexClass","CPQ_TestDataFactory","01p04000000DzITAA0","ApexClass","OpportunityForecastingTest"
"01p04000000DzHgAAK","ApexClass","CaseAAExtController","01p04000000DzHhAAK","ApexClass","CaseAAExtControllerTest"
"01p04000000DzHgAAK","ApexClass","CaseAAExtController","066040000008a0QAAQ","ApexPage","RecallCase"
"01p04000000DzHgAAK","ApexClass","CaseAAExtController","066040000008a0XAAQ","ApexPage","SubmitCase"
"01p04000000DzHiAAK","ApexClass","CaseAssignmentRules","01p04000000DzIgAAK","ApexClass","TestCaseAssignmentRulesSingleRecord"
"01p04000000DzHjAAK","ApexClass","CloseOutChecklistController","01p04000000DzIhAAK","ApexClass","TestCloseOutChecklistController"
"01p04000000DzHjAAK","ApexClass","CloseOutChecklistController","066040000008a0IAAQ","ApexPage","CloseOutChecklist"
"01p04000000DzHkAAK","ApexClass","ContactTriggerHandler","01q040000008UxkAAE","ApexTrigger","ContactTrigger"
"01p04000000DzHnAAK","ApexClass","ContractExtController","01p04000000DzHoAAK","ApexClass","ContractExtControllerTest"
"01p04000000DzHnAAK","ApexClass","ContractExtController","066040000008a0RAAQ","ApexPage","RecallContract"
"01p04000000DzHnAAK","ApexClass","ContractExtController","066040000008a0YAAQ","ApexPage","SubmitContract"
"01p04000000DzHpAAK","ApexClass","ContractUpdateTriggerHandler","01p04000000DzIkAAK","ApexClass","Test_ContractUpdateTrigger"
"01p04000000DzHqAAK","ApexClass","CreditNoteExtController","01p04000000DzHrAAK","ApexClass","CreditNoteExtControllerTests"
"01p04000000DzHqAAK","ApexClass","CreditNoteExtController","066040000008a0SAAQ","ApexPage","RecallCreditNote"
